西直门	39.9474598264	116.35976447
大钟寺	39.9629196026	116.32664152
知春路	39.98172132	116.350465436
五道口	39.9910417686	116.346354784
上地	40.0411687995	116.321306255
西二旗	40.0614897365	116.315052934
龙泽	40.0775399774	116.330635117
回龙观	40.0764446686	116.342879157
霍营	40.0830361018	116.366020292
立水桥	40.0530241236	116.418464964
北苑	39.9102717257	116.643129733
望京西	40.0007548673	116.453996538
芍药居	39.988028493	116.44157306
光熙门	39.9743179258	116.438824068
柳芳	39.9612232693	116.44511041
东直门	39.9371624454	116.449649973
北安河	40.0963859776	116.132022733
温阳路	39.8179782205	116.351092318
稻香湖路	40.0647305358	116.193363591
屯佃	40.0661165743	116.22625058
永丰	39.8179782205	116.351092318
永丰南	39.8179782205	116.351092318
西北旺	39.8179782205	116.351092318
马连洼	40.0421652593	116.311697785
农大南路	40.0304565957	116.302004217
西苑	39.9995864495	116.29917414
阎村东	39.7267526208	115.862836313
苏庄	39.7343131093	116.127044324
良乡南关	39.7267526208	115.862836313
良乡大学城西	39.7267526208	115.862836313
良乡大学城	39.7267526208	115.862836313
良乡大学城北	39.7267526208	115.862836313
广阳城	39.7267526208	115.862836313
篱笆房	39.7691367841	116.18966306
长阳	39.7267526208	115.862836313
稻田	39.7906410402	116.225809332
大葆台	39.8182081428	116.291863623
郭公庄	39.7267526208	115.862836313
朱辛庄	40.098751601	116.308545145
育知路	40.0848534659	116.335088105
平西府	40.1055649495	116.375990473
回龙观东大街	40.0868921253	116.367615788
霍营	40.0830361018	116.366020292
育新	39.9299857781	116.395645038
西小口	40.0540454962	116.355422773
永泰庄	40.1240173217	116.226477473
林萃桥	40.0287904468	116.382609256
森林公园南门	39.9299857781	116.395645038
奥林匹克公园	40.0012104745	116.399126927
奥体中心	39.9920946083	116.400195225
北土城	39.9832306225	116.400622818
安华桥	39.9742908122	116.401461218
安德里北街	39.9635183109	116.406297036
鼓楼大街	39.9596048728	116.401304183
什刹海	39.9521051052	116.380751492
南锣鼓巷	39.9426479756	116.409523933
中国美术馆	39.9315455442	116.415490401
王府井北	39.8876592249	116.467387848
天桥	36.778077695	116.983157147
永定门外	39.8729341705	116.409195887
木樨园北	39.8642870842	116.411266122
木樨园南	39.8642870842	116.411266122
大红门桥	39.8385866988	116.406603033
和义	39.8241163737	116.406473931
西洼地	39.8129965345	116.413131466
六营门	39.8049835601	116.423891982
五福堂	39.7882694663	116.429163427
西二旗	40.0614897365	116.315052934
生命科学园	40.1034230366	116.28385999
朱辛庄	40.098751601	116.308545145
巩华城	40.1303152535	116.285983069
沙河	40.2217235498	116.216456357
沙河高教园	40.1750215009	116.273206212
南邵	40.2408265466	116.298229914
北邵洼	40.2291071211	116.290459607
昌平东关	40.2260040667	116.266018378
昌平	40.1785269742	116.283574059
十三陵景区	40.3011748693	116.202126495
昌平西山口	40.2560657857	116.203703443
国家图书馆	39.9489992709	116.330736421
白石桥南	39.9519395189	116.332443406
白堆子	39.9324314221	116.330161985
军事博物馆	39.9156005333	116.330781767
北京西	39.9299857781	116.395645038
六里桥东	39.8906066487	116.318063271
六里桥	39.8906066487	116.318063271
七里庄	39.8682914373	116.304009791
丰台东大街	40.1087734147	116.504301557
丰台南路	39.8479159925	116.30758836
科怡路	39.8390808353	116.303870105
丰台科技园	39.8370467232	116.285783711
郭公庄	39.8145334715	116.310759098
四惠	39.9116658777	116.514631082
四惠东	39.9150426016	116.513619141
高碑店	39.2650877648	116.040933625
传媒大学	39.9168791477	116.562085239
双桥	40.9714063522	117.948355242
管庄	39.9200289445	116.596515582
八里桥	39.9187728183	116.643765909
通州北苑	39.9070840174	116.646922024
果园	39.8628610564	116.401674894
九棵树	39.8927475846	116.671050327
梨园	39.9395377959	116.116179616
临河里	39.8801578541	116.694821439
土桥	40.1022180858	116.167104708
东夏园	39.9031066519	116.749089412
潞城	36.3744062732	113.254387088
郝家府	39.9076733871	116.725215175
北运河东	39.8735863425	116.754103169
北运河西	39.8735863425	116.754103169
通运门	39.9715721159	116.108350137
通州北关	39.9284176093	116.66197753
物资学院路	39.9288541441	116.645992869
草房	39.9715721159	116.108350137
常营	39.9339953748	116.58837042
黄渠	39.9301209807	116.575542194
褡裢坡	39.9288462357	116.569396901
青年路	39.9608013746	116.522718917
十里堡	39.9715721159	116.108350137
金台路	39.9249801943	116.484674012
呼家楼	39.9238342048	116.457281192
东大桥	39.9290061091	116.458530196
朝阳门	39.9297854883	116.440191379
东四	39.9348671061	116.429330506
南锣鼓巷	39.9426479756	116.409523933
北海北	39.9715721159	116.108350137
平安里	39.9374302472	116.375903696
车公庄	39.959041249	116.336967452
车公庄西	39.959041249	116.336967452
白石桥南	39.959041249	116.336967452
花园桥	39.9470695825	116.28206814
慈寿寺	39.9125224516	116.27529285
海淀五路居	39.9394171268	116.281815447
车道沟	39.9809048037	116.34905065
长春桥	39.9809048037	116.34905065
火器营	39.9715271819	116.293443267
巴沟	39.9750209945	116.300519687
苏州街	40.0313700243	116.284866721
海淀黄庄	39.9823008574	116.323948401
知春里	39.9802199735	116.326496447
知春路	39.9809048037	116.34905065
西土城	39.9713349984	116.363979897
牡丹园	39.8777255975	116.484887606
健德门	39.9824935978	116.386752532
北土城	39.9832306225	116.400622818
安贞门	39.9833132738	116.413183465
惠新西街南口	39.9833173511	116.424023228
芍药居	39.988028493	116.44157306
太阳宫	39.9781364537	116.451255629
三元桥	39.9809048037	116.34905065
亮马桥	39.9589022952	116.478060885
农业展览馆	39.9470973016	116.470462094
团结湖	39.9312121808	116.476694981
